CODE_CITY,CITY,UF,LATITUDE,LONGITUDE,HEIGHT,NM_UF
1718907,Santa Rosa Do Tocantins,TO,-11.4514039985494,-48.1199542217524,291.372477,TOCANTINS
1719004,Santa Tereza Do Tocantins,TO,-10.2823615278187,-47.8062883215081,274.646666,TOCANTINS
1720002,Santa Terezinha Do Tocantins,TO,-6.43699761844425,-47.6842853630081,256.868543,TOCANTINS
2928208,Santana,BA,-12.98075117473,-44.0532579029164,539.850499,BAHIA
2110237,Santana Do Maranhão,MA,-3.11306834278169,-42.4007677571893,33.152745,MARANHÃO
2110278,Santo Amaro Do Maranhão,MA,-2.5027211989687,-43.2552849422448,7.293169,MARANHÃO
2110302,Santo Antônio Dos Lopes,MA,-4.87381957559703,-44.3614474338019,122.116357,MARANHÃO
2110401,São Benedito Do Rio Preto,MA,-3.33276600373026,-43.5299918701629,34.680098,MARANHÃO
1720101,São Bento Do Tocantins,TO,-6.04499925719239,-47.9193922870534,218.373974,TOCANTINS
2110609,São Bernardo,MA,-3.36543651011074,-42.4230096609141,41.716878,MARANHÃO
2928901,São Desidério,BA,-12.3608954905377,-44.9740962396215,503.585922,BAHIA
2110658,São Domingos Do Azeitão,MA,-6.80442500975138,-44.6504239102536,308.194629,MARANHÃO
2110708,São Domingos Do Maranhão,MA,-5.5656420001824,-44.3928792568666,183.585151,MARANHÃO
2110807,São Félix De Balsas,MA,-7.08468515424976,-44.8114476614751,189.115113,MARANHÃO
2929057,São Félix Do Coribe,BA,-13.4042182497929,-44.1968725574679,443.910916,BAHIA
1720150,São Félix Do Tocantins,TO,-10.1732858539628,-46.6549808310123,416.110986,TOCANTINS
2110856,São Francisco Do Brejão,MA,-5.13020078716627,-47.3911373985947,261.122886,MARANHÃO
2110906,São Francisco Do Maranhão,MA,-6.2527979166509,-42.8653217275577,103.414761,MARANHÃO
2209757,São Gonçalo Do Gurguéia,PI,-10.0299401062335,-45.301405510563,437.275626,PIAUÍ
2111052,São João Do Paraíso,MA,-6.46622228636398,-47.0506104204952,291.953774,MARANHÃO
2111078,São João Do Soter,MA,-5.11573926436997,-43.8181817951061,119.388648,MARANHÃO
2111102,São João Dos Patos,MA,-6.4982081521098,-43.7029101657958,337.870105,MARANHÃO
2111250,São José Dos Basílios,MA,-5.04868724515117,-44.5824465175581,77.432652,MARANHÃO
2111409,São Luís Gonzaga Do Maranhão,MA,-4.37391849056593,-44.6627084964498,32.80281,MARANHÃO
2111508,São Mateus Do Maranhão,MA,-4.03455051013261,-44.4685628110946,48.609885,MARANHÃO
1720200,São Miguel Do Tocantins,TO,-5.55381952879429,-47.5730023393731,157.657575,TOCANTINS
2111532,São Pedro Da Água Branca,MA,-5.08891099740741,-48.4236235936456,159.451906,MARANHÃO
2111573,São Pedro Dos Crentes,MA,-6.82855564083834,-46.5325803473698,337.718149,MARANHÃO
2111607,São Raimundo Das Mangabeiras,MA,-7.02696265716848,-45.4848314302202,218.788996,MARANHÃO
2111631,São Raimundo Do Doca Bezerra,MA,-5.10318184489716,-45.0841627902783,120.650104,MARANHÃO
2111672,São Roberto,MA,-5.01736688238089,-44.9919011592934,87.917556,MARANHÃO
1720259,São Salvador Do Tocantins,TO,-12.7474334144954,-48.2320849916811,272.83681,TOCANTINS
1720309,São Sebastião Do Tocantins,TO,-5.25896145373507,-48.2038341490288,116.0,TOCANTINS
1720499,São Valério,TO,-11.9730674594797,-48.2329484333802,310.395463,TOCANTINS
2111722,Satubinha,MA,-4.03573549481028,-45.2336295762481,56.062878,MARANHÃO
2210623,Sebastião Barros,PI,-10.8166752206016,-44.8332841775162,545.059801,PIAUÍ
2210631,Sebastião Leal,PI,-7.57738563015195,-44.0676917696104,347.102766,PIAUÍ
2111748,Senador Alexandre Costa,MA,-5.26107654438389,-44.056301506417,118.145351,MARANHÃO
2111763,Senador La Rocque,MA,-5.44183249517839,-47.2891914239822,164.247572,MARANHÃO
2930154,Serra Do Ramalho,BA,-13.5644659880715,-43.5807307421456,443.789101,BAHIA
2930303,Serra Dourada,BA,-12.7625947392978,-43.9523372558921,526.532491,BAHIA
1720655,Silvanópolis,TO,-11.1498613085628,-48.1798241355321,265.702943,TOCANTINS
2930758,Sítio Do Mato,BA,-13.0857927061126,-43.4664411672544,432.964715,BAHIA
2111805,Sítio Novo,MA,-5.87062989131234,-46.6949833406808,258.577929,MARANHÃO
1720804,Sítio Novo Do Tocantins,TO,-5.60472685665309,-47.6374226504604,192.47696,TOCANTINS
1720853,Sucupira,TO,-11.98622151086,-48.9111262826871,288.527931,TOCANTINS
2111904,Sucupira Do Norte,MA,-6.47828444762036,-44.1886027051903,478.265571,MARANHÃO
2111953,Sucupira Do Riachão,MA,-6.42010840512647,-43.5458533208452,299.216171,MARANHÃO
2930907,Tabocas Do Brejo Velho,BA,-12.7073009223161,-44.0111890670864,535.320716,BAHIA
1720903,Taguatinga,TO,-12.3961417386813,-46.4387317008831,618.75828,TOCANTINS
1720937,Taipas Do Tocantins,TO,-12.1928372090542,-46.9845717959323,406.578814,TOCANTINS
1720978,Talismã,TO,-12.7875384068603,-49.0911184339334,297.0,TOCANTINS
2112001,Tasso Fragoso,MA,-8.47983101786688,-45.7441235175102,239.729908,MARANHÃO
2112100,Timbiras,MA,-4.253840505,-43.9384339738391,37.124736,MARANHÃO
2112209,Timon,MA,-5.10068111012935,-42.8337278988597,79.496323,MARANHÃO
1721109,Tocantínia,TO,-9.55814773400572,-48.3758796714267,191.678459,TOCANTINS
1721208,Tocantinópolis,TO,-6.32563437602796,-47.4274129286927,171.761803,TOCANTINS
2112233,Trizidela Do Vale,MA,-4.57012685660997,-44.6106851966461,27.847075,MARANHÃO
2112308,Tuntum,MA,-5.24965554,-44.6490121516647,109.085686,MARANHÃO
1721257,Tupirama,TO,-8.98056954941714,-48.2066848030641,211.897079,TOCANTINS
1721307,Tupiratins,TO,-8.39552999695801,-48.1229957408688,177.478798,TOCANTINS
2112506,Tutóia,MA,-2.76355019688869,-42.2768472076943,4.059947,MARANHÃO
2112605,Urbano Santos,MA,-3.20840949958587,-43.4042484723562,42.092097,MARANHÃO
2211209,Uruçuí,PI,-7.22950334456247,-44.5602559238525,175.43514,PIAUÍ
2112704,Vargem Grande,MA,-3.54189600011652,-43.9166644901652,38.283026,MARANHÃO
2112852,Vila Nova Dos Martírios,MA,-5.18351151920427,-48.138926482601,124.13528,MARANHÃO
1722081,Wanderlândia,TO,-6.8501255166885,-47.9562677260283,266.586487,TOCANTINS
2933455,Wanderley,BA,-12.1201503140061,-43.8889295198526,553.542351,BAHIA
1722107,Xambioá,TO,-6.41188502017984,-48.531601072817,150.222935,TOCANTINS
